path,true_grade,predicted_grade,confidence
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_096.jpg,0,1,0.8495026057822599
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_042.jpg,3,4,0.8459671376286173
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_082.jpg,2,1,0.8425341864422505
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_025.jpg,3,4,0.836977126023241
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_359.jpg,0,1,0.8312253796175496
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_177.jpg,0,1,0.8255725852608964
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_185.jpg,2,1,0.8249580693277301
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_066.jpg,3,2,0.820754745128496
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_087.jpg,4,2,0.8189001046241053
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_311.jpg,2,0,0.8158277699775163
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_287.jpg,0,1,0.8090290876806846
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_402.jpg,1,0,0.8039380739652153
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_030.jpg,4,2,0.8026101890795925
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_130.jpg,2,1,0.8016387812916979
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_003.jpg,2,1,0.8006254701512707
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_129.jpg,2,1,0.8004837371059461
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_160.jpg,0,1,0.7980532974945164
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_277.jpg,3,4,0.7945213431456774
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_075.jpg,0,1,0.7944916925891181
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_103.jpg,0,1,0.7929354598760321
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_265.jpg,1,0,0.7850561154923346
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_103.jpg,2,1,0.7849457098286181
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_379.jpg,1,0,0.7782002149038028
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_271.jpg,3,4,0.7778042640202183
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_369.jpg,3,2,0.7749618221683101
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_099.jpg,3,4,0.7718115870767479
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_187.jpg,2,1,0.7689236076485398
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_151.jpg,0,1,0.7684840778826384
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_399.jpg,0,1,0.7679443201531622
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_366.jpg,3,2,0.7668398778614668
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_152.jpg,0,1,0.7656422894319227
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_163.jpg,0,1,0.7648052415486304
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_022.jpg,3,2,0.7618064014258723
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_086.jpg,2,1,0.7602338974874933
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_188.jpg,2,1,0.7585205999923785
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_308.jpg,3,2,0.7532742191233918
/Users/shlokbhutani/.cache/retinopathy-v2/idrid/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_266.jpg,1,0,0.7502448094321701
